UID,GID,JobIDRaw,Group,Account,JobName,TimelimitRaw,Submit,Start,End,State,ExitCode,ReservationId,Reservation,Priority,Eligible,Constraints,SystemCPU,CPUTimeRAW,ElapsedRaw,Layout,NTasks,QOSREQ,QOS,Restarts,WorkDir,ConsumedEnergyRaw,FailedNode,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Partition,Reason,Suspended,AllocNodes,AveRSS,MaxRSS,DerivedExitCode,AveVMSize,MaxVMSize,ReqMem,ReqNodes,NNodes,Planned,PlannedCPURAW,NCPUS,UserCPU,ReqCPUS,TotalCPU,TRESUsageInTot,TRESUsageOutTot,ReqTRES,AllocTRES,TRESUsageInMax,TRESUsageOutMax,Flags,Comment,SystemComment,AdminComment
1013,1013,4460,test_user14,testing,test_user14-I9Ks,2,2025-07-31T09:50:16,2025-07-31T09:50:17,2025-07-31T09:52:20,TIMEOUT,0:0,1,system_testing,86400,2025-07-31T09:50:16,,00:00:00,110208,123,,,,normal,0,/home/test_user14/stochsimsched,,,,,,,batch-cpu,None,00:00:00,7,,,0:15,,,7M,7,7,00:00:01,448,896,00:00:00,448,00:00:00,,,billing=448;cpu=448;mem=7M;node=7,billing=896;cpu=896;node=7,,,SchedMain;StartReceived,,,
1010,1010,4461,test_user11,testing,test_user11-kAVV,5,2025-07-31T09:50:16,2025-07-31T09:50:17,2025-07-31T09:50:31,PREEMPTED,0:0,1,system_testing,86400,2025-07-31T09:50:16,,00:00:00,5376,14,,,,normal,0,/home/test_user11/stochsimsched,,,,,,,batch-cpu,None,00:00:00,3,,,0:15,,,3M,3,3,00:00:01,192,384,00:00:00,192,00:00:00,,,billing=192;cpu=192;mem=3M;node=3,billing=384;cpu=384;node=3,,,SchedMain;StartReceived,,,
1003,1003,4462,test_user4,testing,test_user4-9waG,3,2025-07-31T09:50:16,2025-07-31T09:50:17,2025-07-31T09:52:55,PREEMPTED,0:0,1,system_testing,86400,2025-07-31T09:50:16,,00:00:00,141568,158,,,,normal,0,/home/test_user4/stochsimsched,,,,,,,batch-cpu,None,00:00:00,7,,,0:15,,,7M,7,7,00:00:01,448,896,00:00:00,448,00:00:00,,,billing=448;cpu=448;mem=7M;node=7,billing=896;cpu=896;node=7,,,SchedMain;StartReceived,,,
1004,1004,4463,test_user5,testing,test_user5-SGel,6,2025-07-31T09:50:16,2025-07-31T09:50:17,2025-07-31T09:51:18,PREEMPTED,0:0,1,system_testing,86400,2025-07-31T09:50:16,,00:00:00,23424,61,,,,normal,0,/home/test_user5/stochsimsched,,,,,,,batch-cpu,None,00:00:00,3,,,0:15,,,3M,3,3,00:00:01,192,384,00:00:00,192,00:00:00,,,billing=192;cpu=192;mem=3M;node=3,billing=384;cpu=384;node=3,,,SchedMain;StartReceived,,,
1008,1008,4464,test_user9,testing,test_user9-rQR1,9,2025-07-31T09:50:16,2025-07-31T09:50:34,2025-07-31T09:52:44,COMPLETED,0:0,1,system_testing,86400,2025-07-31T09:50:17,,00:00:00,16640,130,,,,normal,0,/home/test_user9/stochsimsched,,,,,,,batch-cpu,None,00:00:00,1,,,0:0,,,1M,1,1,00:00:17,1088,128,00:00:00,64,00:00:00,,,billing=64;cpu=64;mem=1M;node=1,billing=128;cpu=128;node=1,,,SchedMain;StartReceived,,,
1007,1007,4465,test_user8,testing,test_user8-cJdM,9,2025-07-31T09:50:17,2025-07-31T09:55:51,2025-07-31T10:02:56,PREEMPTED,0:0,1,system_testing,86400,2025-07-31T09:50:17,,00:00:00,489600,425,,,,normal,0,/home/test_user8/stochsimsched,,,,,,,batch-cpu,None,00:00:00,9,,,0:15,,,9M,9,9,00:05:34,192384,1152,00:00:00,576,00:00:00,,,billing=576;cpu=576;mem=9M;node=9,billing=1152;cpu=1152;node=9,,,SchedMain;StartReceived,,,
1014,1014,4466,test_user15,testing,test_user15-OWg8,3,2025-07-31T09:50:17,2025-07-31T09:58:24,2025-07-31T10:01:12,PREEMPTED,0:0,1,system_testing,86400,2025-07-31T09:50:17,,00:00:00,64512,168,,,,normal,0,/home/test_user15/stochsimsched,,,,,,,batch-cpu,None,00:00:00,3,,,0:15,,,3M,3,3,00:08:07,93504,384,00:00:00,192,00:00:00,,,billing=192;cpu=192;mem=3M;node=3,billing=384;cpu=384;node=3,,,SchedMain;StartReceived,,,
1006,1006,4467,test_user7,testing,test_user7-pZDD,5,2025-07-31T09:50:17,2025-07-31T09:58:24,2025-07-31T10:01:12,PREEMPTED,0:0,1,system_testing,86400,2025-07-31T09:50:18,,00:00:00,129024,168,,,,normal,0,/home/test_user7/stochsimsched,,,,,,,batch-cpu,None,00:00:00,6,,,0:15,,,6M,6,6,00:08:06,186624,768,00:00:00,384,00:00:00,,,billing=384;cpu=384;mem=6M;node=6,billing=768;cpu=768;node=6,,,SchedMain;StartReceived,,,
1000,1000,4468,test_user1,testing,test_user1-EjZl,10,2025-07-31T09:50:18,2025-07-31T10:05:50,2025-07-31T10:06:13,PREEMPTED,0:0,1,system_testing,86400,2025-07-31T09:50:18,,00:00:00,17664,23,,,,normal,0,/home/test_user1/stochsimsched,,,,,,,batch-cpu,None,00:00:00,6,,,0:15,,,6M,6,6,00:15:32,357888,768,00:00:00,384,00:00:00,,,billing=384;cpu=384;mem=6M;node=6,billing=768;cpu=768;node=6,,,SchedMain;StartReceived,,,
1015,1015,4469,test_user16,testing,test_user16-XtkF,10,2025-07-31T09:50:18,2025-07-31T10:11:01,2025-07-31T10:14:17,PREEMPTED,0:0,1,system_testing,86400,2025-07-31T09:50:18,,00:00:00,200704,196,,,,normal,0,/home/test_user16/stochsimsched,,,,,,,batch-cpu,None,00:00:00,8,,,0:15,,,8M,8,8,00:20:43,636416,1024,00:00:00,512,00:00:00,,,billing=512;cpu=512;mem=8M;node=8,billing=1024;cpu=1024;node=8,,,SchedMain;StartReceived,,,
1012,1012,4470,test_user13,testing,test_user13-2Pr1,8,2025-07-31T09:50:18,2025-07-31T10:03:19,2025-07-31T10:05:41,PREEMPTED,0:0,1,system_testing,86400,2025-07-31T09:50:18,,00:00:00,54528,142,,,,normal,0,/home/test_user13/stochsimsched,,,,,,,batch-cpu,None,00:00:00,3,,,0:15,,,3M,3,3,00:13:01,149952,384,00:00:00,192,00:00:00,,,billing=192;cpu=192;mem=3M;node=3,billing=384;cpu=384;node=3,,,SchedBackfill;StartReceived,,,
1002,1002,4471,test_user3,testing,test_user3-4Zke,1,2025-07-31T09:50:18,2025-07-31T10:08:49,2025-07-31T10:08:50,PREEMPTED,0:0,1,system_testing,86400,2025-07-31T09:50:18,,00:00:00,384,1,,,,normal,0,/home/test_user3/stochsimsched,,,,,,,batch-cpu,None,00:00:00,3,,,0:15,,,3M,3,3,00:18:31,213312,384,00:00:00,192,00:00:00,,,billing=192;cpu=192;mem=3M;node=3,billing=384;cpu=384;node=3,,,SchedBackfill;StartReceived,,,
1011,1011,4472,test_user12,testing,test_user12-9eCs,5,2025-07-31T09:50:18,2025-07-31T10:09:19,2025-07-31T10:11:27,COMPLETED,0:0,1,system_testing,86400,2025-07-31T09:50:18,,00:00:00,32768,128,,,,normal,0,/home/test_user12/stochsimsched,,,,,,,batch-cpu,None,00:00:00,2,,,0:0,,,2M,2,2,00:19:01,146048,256,00:00:00,128,00:00:00,,,billing=128;cpu=128;mem=2M;node=2,billing=256;cpu=256;node=2,,,SchedBackfill;StartReceived,,,
1001,1001,4473,test_user2,testing,test_user2-RMP9,8,2025-07-31T09:50:18,2025-07-31T10:14:13,2025-07-31T10:15:25,PREEMPTED,0:0,1,system_testing,86400,2025-07-31T09:50:19,,00:00:00,92160,72,,,,normal,0,/home/test_user2/stochsimsched,,,,,,,batch-cpu,None,00:00:00,10,,,0:15,,,10M,10,10,00:23:54,917760,1280,00:00:00,640,00:00:00,,,billing=640;cpu=640;mem=10M;node=10,billing=1280;cpu=1280;node=10,,,SchedMain;StartReceived,,,
1005,1005,4474,test_user6,testing,test_user6-faAQ,3,2025-07-31T09:50:19,2025-07-31T10:11:19,2025-07-31T10:14:13,COMPLETED,0:0,1,system_testing,86400,2025-07-31T09:50:19,,00:00:00,66816,174,,,,normal,0,/home/test_user6/stochsimsched,,,,,,,batch-cpu,None,00:00:00,3,,,0:0,,,3M,3,3,00:21:00,241920,384,00:00:00,192,00:00:00,,,billing=192;cpu=192;mem=3M;node=3,billing=384;cpu=384;node=3,,,SchedBackfill;StartReceived,,,
